1,1,8002
1,25,474
1,3,2808
0,21,1046
1,21,1046
0,2,1618
1,2,1234
1,5,2950
0,31,15008
0,9,3916
0,35,1188
0,27,2332
1,9,3384
0,2,1234
0,17,1234
0,32,353
0,33,1806
0,28,925
1,24,3445
0,28,8499
0,9,8115
0,2,1234
0,2,1234
0,2,1234
1,2,1234
0,2,1234
0,17,1234
0,32,353
0,33,1806
0,43,44
0,39,12904
0,16,1599
0,3,5764
0,2,1234
1,2,1234
0,2,1234
1,17,1234
0,47,2687
0,13,1806
0,41,5994
0,5,2950
1,46,4975
0,29,478
0,17,1234
1,17,1234
0,32,353
1,47,2687
0,13,1806
0,9,3916
1,20,26645
0,27,2332
0,40,4265
1,17,1234
1,32,353
0,33,1806
1,28,925
0,24,3445
1,28,8499
1,38,5396
1,2,2194
0,17,1234
0,32,353
1,33,1806
0,19,2493
0,42,2253
0,35,1925
0,35,1925
0,19,4259
0,0,9808
0,11,2188
0,40,3928
1,1,2050
1,8,1353
0,23,16856
0,23,16856
0,23,2449
0,23,2449
0,35,1925
0,19,4259
0,19,4259
1,15,18594
0,26,4522
1,33,22
1,27,8846
1,23,16856
1,38,371
0,4,6021
0,4,6021
0,34,11570
1,45,8046
0,45,2760
0,28,6798
1,8,1353
0,8,1353
0,8,1353
0,23,16856
0,23,16856
1,23,2449
1,23,2449
0,38,371
1,19,5140
1,19,5140
0,49,251
1,45,7165
0,22,1879
0,39,7336
1,8,1353
0,8,1353
0,23,16856
1,23,16856
0,23,2449
0,23,2449
0,35,1925
1,35,1925
1,19,5140
0,0,9808
0,11,2188
1,40,3928
0,8,2050
0,8,1353
0,23,4028
0,20,16548
0,38,4135
0,49,2994
1,34,24306
1,15,5279
1,41,5627
1,48,8448
0,46,4900
0,23,4028
0,38,4135
0,4,2373
1,34,24306
0,30,20782
1,7,14615
0,14,6686
0,38,5095
1,23,4028
0,38,4135
0,4,2373
0,49,2945
1,45,2636
0,29,1112
0,0,1874
0,23,4028
0,49,2994
1,19,611
0,0,6160
0,11,1755
0,41,519
0,0,8264
0,49,2994
1,19,611
0,6,6038
0,17,1633
0,9,6159
0,1,3921
0,39,6735
0,21,5157
0,36,4276
1,38,3395
1,38,3395
0,17,1633
0,13,8874
0,31,18543
0,10,2330
1,6,6038
0,21,5157
0,36,4276
0,38,3395
0,32,752
0,28,8719
1,27,3313
0,0,3043
0,6,6038
1,21,5157
0,36,4276
0,2,2514
0,2,2514
0,47,742
0,46,4719
0,49,1850
0,13,7261
0,21,5157
1,36,4276
0,2,2514
1,47,742
0,9,6159
0,23,4802
1,48,7616
0,6,6038
0,21,5157
0,21,5157
1,38,3395
0,17,1633
0,37,2760
0,39,9207
0,31,18543
0,48,3628
0,7,12488
1,3,41
0,23,18300
0,36,12133
0,19,404
0,22,161
0,22,161
0,22,6275
0,22,6275
0,36,9845
0,36,9845
0,18,23586
1,14,4559
1,10,154
0,2,1298
0,45,4600
1,7,12488
0,22,161
0,22,161
1,37,9845
